# Sense_tb_nc outrf_42.c (timer) outrf_41.c (adc)
# claim_no  time(TIMER)  time_dec_proc(TIMER)  time(ADC)  time_dec_proc(ADC)  claim_name  
  0   107   0       141   0       memset.1  
# 3   105   0.061   140   0.064   memset.4  
#  4   103   0       143   0       AdcStreamP_Init_init.1
#  5   104   0.116   144   0.32    HplAdc12P_HplAdc12_getCtl0.1 
  6   111   5.135   163   20.424  SchedulerBasicP_popTask.1 
#  7   109   5.123   165   20.616  SchedulerBasicP_popTask.2 
#  37  111   0       145   0       SchedulerBasicP_popTask.3 
#  38  105   0       140   0       SchedulerBasicP_popTask.4 
#  8   110   5.27    165   20.197  McuSleepC_McuSleep_sleep.1 
#  9   103   0       148   4.728   HplAdc12P_HplAdc12_getCtl0.2 
  10  104   0       143   0       HplAdc12P_HplAdc12_getMem.1 
  22  104   0       153   10.345  Msp430Adc12ImplP_HplAdc12_conversionDone.1 
#  27  104   0       156   11.87   Msp430Adc12ImplP_HplAdc12_conversionDone.2 
  28  104   0       159   14.985  HplAdc12P_HplAdc12_setMCtl.1 
#  29  107   0       157   14.898  HplAdc12P_HplAdc12_setMCtl.2 
  33  105   0       159   15.837  HplAdc12P_HplAdc12_getMem.20 
#  34  104   0       159   15.756  Msp430Adc12ImplP_HplAdc12_conversionDone.3 
  35  104   0       141   0       SchedulerBasicP_isWaiting.1 
  36  217   99.498  3500  1728    SchedulerBasicP_pushTask.1 
  39  170   61.232  2910  1106.12 HplAdc12P_HplAdc12_getCtl0.3 
  40  110   0       141   0       HplAdc12P_HplAdc12_setMCtl.3 
  41  109   0       138   0       HplAdc12P_HplAdc12_setMCtl.4 
#  42  166   57.45   1494  657.397   HplAdc12P_HplAdc12_getMCtl.1 
  43  330   114.242 1800  961.609   RoundRobinResourceQueueC_0_RoundRobinQueue_isEnqueued.1 
#  44  226   87.257  1838  979.326   RoundRobinResourceQueueC_0_RoundRobinQueue_isEnqueued.2 
  45  111   0       141   0       RoundRobinResourceQueueC_0_RoundRobinQueue_isEmpty.1 
#  46  106   0       138   0       RoundRobinResourceQueueC_0_RoundRobinQueue_isEmpty.2 
#  47  204   85.632  1860  959.526 RoundRobinResourceQueueC_0_clearEntry.1 
#  48  303   112.762 1853  950.618 RoundRobinResourceQueueC_0_clearEntry.2 
  49  115   0       142   0       RoundRobinResourceQueueC_0_RoundRobinQueue_enqueue.1 
#  50  104   0       138   0       RoundRobinResourceQueueC_0_RoundRobinQueue_enqueue.2 
  51  105   0       137   0       ArbitratedReadStreamC_0_Resource_granted.1 
  52  105   0       137   0       VirtualizeTimerC_0_Timer_stop.1 
#  68  104   0       137   0       VirtualizeTimerC_0_Timer_stop.5 
#  53  104   0       137   0       ArbitratedReadStreamC_0_Resource_granted.2 
#  54  104   0       137   0       VirtualizeTimerC_0_Timer_stop.2 
#  55  105   0       138   0       ArbitratedReadStreamC_0_Resource_granted.3 
#  56  104   0       137   0       VirtualizeTimerC_0_Timer_stop.3 
#  57  104   0       138   0       VirtualizeTimerC_0_Timer_stop.4 
#  58  103   0       137   0       ArbitratedReadStreamC_0_Resource_granted.4 
  59  104   0       155   15.398  AdcStreamP_SingleChannel_multipleDataReady.1 
  60  104   0       146   8.289   AdcStreamP_SingleChannel_singleDataReady.1 
  61  104   0       147   8.341   AdcStreamP_SingleChannel_singleDataReady.2 
  62  127   21.741  189   48.784  VirtualizeTimerC_0_updateFromTimer_runTask.1 
#  67  128   21.765  190   48.742  VirtualizeTimerC_0_updateFromTimer_runTask.6 
  69  206   93.436  1718  774.777 AdcStreamP_readStreamDone_runTask.1 
  72  173   64.125  1896  829.944 AdcStreamP_readStreamFail_runTask.2 
