DEREF at 354/0x162	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(354U)
DEREF at 370/0x172	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(370U)
DEREF at 356/0x164	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(356U)
DEREF at 372/0x174	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(372U)
DEREF at 358/0x166	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(358U)
DEREF at 374/0x176	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(374U)
DEREF at 302/0x12e	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(302U)
DEREF at 386/0x182	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(386U)
DEREF at 402/0x192	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(402U)
DEREF at 386/0x182	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(386U)
DEREF at 384/0x180	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(384U)
DEREF at 386/0x182	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(386U)
DEREF at 386/0x182	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(386U)
DEREF at 402/0x192	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(402U)
DEREF at 402/0x192	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(402U)
DEREF at 404/0x194	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(404U)
DEREF at 388/0x184	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(388U)
DEREF at 406/0x196	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(406U)
DEREF at 390/0x186	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(390U)
DEREF at 408/0x198	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(408U)
DEREF at 392/0x188	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(392U)
DEREF at 410/0x19a	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(410U)
DEREF at 394/0x18a	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(394U)
DEREF at 412/0x19c	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(412U)
DEREF at 396/0x18c	 @ 16-bit Peripheral Module	 in line *(volatile uint16_t *)(396U)
