# Sense_tb_nc outrf_42.c (timer) outrf_41.c (adc)
# claim_no  time(TIMER)  time_dec_proc(TIMER)  time(ADC)  time_dec_proc(ADC)  claim_name  
  0   107   0       141   0       memset.1  
  6   111   5.135   163   20.424  SchedulerBasicP_popTask.1 
  10  104   0       143   0       HplAdc12P_HplAdc12_getMem.1 
  22  104   0       153   10.345  Msp430Adc12ImplP_HplAdc12_conversionDone.1 
  28  104   0       159   14.985  HplAdc12P_HplAdc12_setMCtl.1 
  33  105   0       159   15.837  HplAdc12P_HplAdc12_getMem.20 
  35  104   0       141   0       SchedulerBasicP_isWaiting.1 
  43  330   114.242 1800  961.609   RoundRobinResourceQueueC_0_RoundRobinQueue_isEnqueued.1 
  45  111   0       141   0       RoundRobinResourceQueueC_0_RoundRobinQueue_isEmpty.1 
  49  115   0       142   0       RoundRobinResourceQueueC_0_RoundRobinQueue_enqueue.1 
  51  105   0       137   0       ArbitratedReadStreamC_0_Resource_granted.1 
  52  105   0       137   0       VirtualizeTimerC_0_Timer_stop.1 
  59  104   0       155   15.398  AdcStreamP_SingleChannel_multipleDataReady.1 
  60  104   0       146   8.289   AdcStreamP_SingleChannel_singleDataReady.1 
  61  104   0       147   8.341   AdcStreamP_SingleChannel_singleDataReady.2 
  36  217   99.498  3500  1728    SchedulerBasicP_pushTask.1 
  39  170   61.232  2910  1106.12 HplAdc12P_HplAdc12_getCtl0.3 
  40  110   0       141   0       HplAdc12P_HplAdc12_setMCtl.3 
  41  109   0       138   0       HplAdc12P_HplAdc12_setMCtl.4 
  62  127   21.741  189   48.784  VirtualizeTimerC_0_updateFromTimer_runTask.1 
  69  206   93.436  1718  774.777 AdcStreamP_readStreamDone_runTask.1 
  72  173   64.125  1896  829.944 AdcStreamP_readStreamFail_runTask.2 
